,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
a_1,0.02032,0.01934,0.0177,0.01719,0.01697,0.01428,0.0141,0.01329,0.01405,0.01557
a_67,0.02938,0.02901,0.03189,0.0343,0.03735,0.03482,0.03444,0.03732,0.0369,0.03284
a_95,0.02149,0.02189,0.02032,0.01888,0.0204,0.01964,0.01798,0.0171,0.01602,0.01572
a_49,0.06128,0.05348,0.0468,0.04445,0.04418,0.04833,0.05208,0.05582,0.05031,0.05015
a_34,0.00318,0.00364,0.00388,0.00378,0.00332,0.00395,0.0037,0.00353,0.00314,0.00385
a_13,0.07156,0.07039,0.06862,0.06484,0.06969,0.06883,0.06346,0.07328,0.07593,0.0721
a_40,0.01541,0.01542,0.016,0.01489,0.01525,0.0148,0.01488,0.01304,0.01432,0.01506
a_65,0.05327,0.04164,0.04523,0.0385,0.03115,0.03265,0.03565,0.0347,0.03407,0.03409
a_59,0.01841,0.01812,0.02026,0.02037,0.02293,0.02252,0.02282,0.02279,0.02612,0.02768
a_47,0.02043,0.02198,0.01906,0.01875,0.01711,0.01659,0.0155,0.01199,0.01402,0.01541
a_33,0.0039,0.00408,0.00476,0.00462,0.00471,0.00478,0.00461,0.00415,0.00489,0.00571
a_77,0.06543,0.07206,0.0744,0.07614,0.06854,0.05857,0.06366,0.05566,0.05462,0.05247
a_43,0.02071,0.02236,0.02307,0.02411,0.02443,0.02038,0.01929,0.01748,0.01751,0.01418
a_57,0.04324,0.04212,0.04504,0.04797,0.04973,0.05388,0.04815,0.05166,0.04803,0.05051
a_87,0.00638,0.00661,0.00768,0.0086,0.00885,0.00776,0.0079,0.00732,0.00601,0.00605
a_93,0.04339,0.04882,0.04999,0.04162,0.04298,0.04691,0.04489,0.04583,0.04523,0.04491
a_37,0.02853,0.02725,0.02743,0.02753,0.02591,0.02443,0.02736,0.02723,0.03265,0.03128
a_58,0.05107,0.05214,0.0527,0.05078,0.05292,0.04962,0.04758,0.05376,0.05496,0.05776
a_17,0.05512,0.05896,0.06096,0.06122,0.05823,0.05837,0.05468,0.05083,0.05013,0.05527
a_21,0.0692,0.07334,0.07328,0.08129,0.08932,0.08872,0.09432,0.10135,0.10881,0.1027
a_15,0.04059,0.03681,0.03479,0.03716,0.03916,0.04672,0.04188,0.03993,0.03761,0.03703
a_72,0.02337,0.0217,0.02223,0.02048,0.01931,0.01894,0.01824,0.01842,0.01904,0.02082
a_29,0.03291,0.02775,0.02279,0.02274,0.01741,0.01598,0.01438,0.01487,0.01629,0.01843
a_48,0.03481,0.03421,0.02843,0.02751,0.02565,0.03071,0.02914,0.02761,0.02436,0.02293
a_11,0.04788,0.06115,0.07102,0.07599,0.0758,0.07996,0.08511,0.08039,0.08406,0.07582
a_80,0.01892,0.01642,0.01417,0.0149,0.01551,0.01537,0.01711,0.0174,0.01436,0.0151
a_31,0.00856,0.00821,0.00815,0.00768,0.00672,0.00599,0.00575,0.00565,0.00592,0.00626
a_53,0.02956,0.02945,0.03402,0.03396,0.03173,0.02905,0.02894,0.03114,0.03117,0.0377
a_56,0.05189,0.05256,0.04601,0.05171,0.05694,0.05982,0.06413,0.05943,0.05323,0.05689
a_19,0.00983,0.00911,0.00934,0.00804,0.00779,0.00763,0.00829,0.007,0.00624,0.00573
