,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
a_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_7,0.24797325676717527,0.25527655416743783,0.24722246013383342,0.24502311368774538,0.19975921300303925,0.1779646257551137,0.1393785723220706,0.14621628399403414,0.16491289205572257,0.16881284946078265
a_8,0.2990332285273396,0.29502442168289206,0.2625222179455613,0.24269191417785102,0.2818371422958081,0.27482197391328456,0.2822232732520455,0.28544729292544896,0.30697163793862003,0.30682601690491873
a_9,0.2192844630064975,0.23617386955375377,0.2739864393565945,0.2999373630123452,0.30874079181831926,0.3384561202364568,0.36126996215307994,0.3213764914002604,0.28272870814644524,0.2920255223780147
a_10,0.23370905169898767,0.21352515459591645,0.21626888256401078,0.21234760912205847,0.20966285288283323,0.20875728009514485,0.21712819227280422,0.24695993168025648,0.24538676185921232,0.23233561125628385
